function,year,amount,sheet
150 International Affairs:,2000,0.0,hist05z1
151 International development and humanitarian assistance,2000,6739.0,hist05z1
152 International security assistance,2000,7763.0,hist05z1
153 Conduct of foreign affairs,2000,5614.0,hist05z1
154 Foreign information and exchange activities,2000,770.0,hist05z1
155 International financial programs,2000,1756.0,hist05z1
"Total, International Affairs",2000,22642.0,hist05z1
"250 General Science, Space, and Technology:",2000,0.0,hist05z1
251 General science and basic research,2000,6707.0,hist05z1
"252 Space flight, research, and supporting activities",2000,12541.0,hist05z1
"Total, General Science, Space, and Technology",2000,19248.0,hist05z1
270 Energy:,2000,0.0,hist05z1
271 Energy supply,2000,-2302.0,hist05z1
272 Energy conservation,2000,737.0,hist05z1
274 Emergency energy preparedness,2000,158.0,hist05z1
"276 Energy information, policy, and regulation",2000,222.0,hist05z1
"Total, Energy",2000,-1185.0,hist05z1
300 Natural Resources and Environment:,2000,0.0,hist05z1
301 Water resources,2000,4800.0,hist05z1
302 Conservation and land management,2000,6604.0,hist05z1
303 Recreational resources,2000,2719.0,hist05z1
304 Pollution control and abatement,2000,7483.0,hist05z1
306 Other natural resources,2000,3397.0,hist05z1
"Total, Natural Resources and Environment",2000,25003.0,hist05z1
350 Agriculture:,2000,0.0,hist05z1
351 Farm income stabilization,2000,30224.0,hist05z1
352 Agricultural research and services,2000,3304.0,hist05z1
"Total, Agriculture",2000,33528.0,hist05z1
370 Commerce and Housing Credit:,2000,0.0,hist05z1
371 Mortgage credit,2000,1000.0,hist05z1
372 Postal service,2000,3812.0,hist05z1
(On-budget),2000,100.0,hist05z1
(Off-budget),2000,3712.0,hist05z1
373 Deposit insurance,2000,0.0,hist05z1
376 Other advancement of commerce,2000,10617.0,hist05z1
"Total, Commerce and Housing Credit",2000,15429.0,hist05z1
(On-budget),2000,11717.0,hist05z1
(Off-budget),2000,3712.0,hist05z1
400 Transportation:,2000,0.0,hist05z1
401 Ground transportation,2000,38609.0,hist05z1
402 Air transportation,2000,12006.0,hist05z1
403 Water transportation,2000,4527.0,hist05z1
407 Other transportation,2000,233.0,hist05z1
"Total, Transportation",2000,55375.0,hist05z1
450 Community and Regional Development:,2000,0.0,hist05z1
451 Community development,2000,5395.0,hist05z1
452 Area and regional development,2000,2836.0,hist05z1
453 Disaster relief and insurance,2000,3028.0,hist05z1
"Total, Community and Regional Development",2000,11259.0,hist05z1
"500 Education, Training, Employment, and Social Services:",2000,0.0,hist05z1
"501 Elementary, secondary, and vocational education",2000,17136.0,hist05z1
502 Higher education,2000,11913.0,hist05z1
503 Research and general education aids,2000,2645.0,hist05z1
504 Training and employment,2000,4862.0,hist05z1
505 Other labor services,2000,1242.0,hist05z1
506 Social services,2000,11715.0,hist05z1
"Total, Education, Training, Employment, and Social Services",2000,49513.0,hist05z1
550 Health:,2000,0.0,hist05z1
551 Health care services,2000,140537.0,hist05z1
552 Health research and training,2000,18527.0,hist05z1
554 Consumer and occupational health and safety,2000,2370.0,hist05z1
"Total, Health",2000,161434.0,hist05z1
570 Medicare:,2000,0.0,hist05z1
571 Medicare,2000,200588.0,hist05z1
600 Income Security:,2000,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),2000,6128.0,hist05z1
602 Federal employee retirement and disability,2000,78953.0,hist05z1
603 Unemployment compensation,2000,23023.0,hist05z1
604 Housing assistance,2000,18351.0,hist05z1
605 Food and nutrition assistance,2000,35925.0,hist05z1
609 Other income security,2000,87324.0,hist05z1
"Total, Income Security",2000,249704.0,hist05z1
650 Social Security:,2000,0.0,hist05z1
651 Social security,2000,412032.0,hist05z1
(On-budget),2000,13262.0,hist05z1
(Off-budget),2000,398770.0,hist05z1
700 Veterans Benefits and Services:,2000,0.0,hist05z1
701 Income security for veterans,2000,22734.0,hist05z1
"702 Veterans education, training, and rehabilitation",2000,1255.0,hist05z1
703 Hospital and medical care for veterans,2000,19584.0,hist05z1
704 Veterans housing,2000,796.0,hist05z1
705 Other veterans benefits and services,2000,1108.0,hist05z1
"Total, Veterans Benefits and Services",2000,45477.0,hist05z1
750 Administration of Justice:,2000,0.0,hist05z1
751 Federal law enforcement activities,2000,12161.0,hist05z1
752 Federal litigative and judicial activities,2000,7844.0,hist05z1
753 Federal correctional activities,2000,3667.0,hist05z1
754 Criminal justice assistance,2000,3752.0,hist05z1
"Total, Administration of Justice",2000,27424.0,hist05z1
800 General Government:,2000,0.0,hist05z1
801 Legislative functions,2000,2240.0,hist05z1
802 Executive direction and management,2000,448.0,hist05z1
803 Central fiscal operations,2000,8466.0,hist05z1
804 General property and records management,2000,-70.0,hist05z1
805 Central personnel management,2000,161.0,hist05z1
806 General purpose fiscal assistance,2000,2058.0,hist05z1
808 Other general government,2000,2105.0,hist05z1
809 Deductions for offsetting receipts,2000,-2383.0,hist05z1
"Total, General Government",2000,13025.0,hist05z1
900 Net Interest:,2000,0.0,hist05z1
901 Interest on Treasury debt securities (gross),2000,361925.0,hist05z1
902 Interest received by on-budget trust funds,2000,-69290.0,hist05z1
903 Interest received by off-budget trust funds,2000,-59796.0,hist05z1
908 Other interest,2000,-9886.0,hist05z1
(On-budget),2000,-9886.0,hist05z1
(Off-budget),2000,0.0,hist05z1
909 Other investment income,2000,-2.0,hist05z1
"Total, Net Interest",2000,222951.0,hist05z1
(On-budget),2000,282747.0,hist05z1
(Off-budget),2000,-59796.0,hist05z1
950 Undistributed Offsetting Receipts:,2000,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",2000,-30214.0,hist05z1
"952 Employer share, employee retirement (off-budget)",2000,-7637.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,2000,-4580.0,hist05z1
954 Sale of major assets,2000,0.0,hist05z1
959 Other undistributed offsetting receipts,2000,-150.0,hist05z1
"Total, Undistributed Offsetting Receipts",2000,-42581.0,hist05z1
(On-budget),2000,-34944.0,hist05z1
(Off-budget),2000,-7637.0,hist05z1
Total budget authority,2000,1824870.0,hist05z1
(On-budget),2000,1489821.0,hist05z1
(Off-budget),2000,335049.0,hist05z1
On-budget unless otherwise stated,2000,0.0,hist05z1
050 National Defense:,2001,0.0,hist05z1
051 Department of Defense-Military:,2001,0.0,hist05z1
Military Personnel,2001,76889.0,hist05z1
Operation and Maintenance,2001,125187.0,hist05z1
Procurement,2001,62608.0,hist05z1
"Research, Development, Test, and Evaluation",2001,41591.0,hist05z1
Military Construction,2001,5424.0,hist05z1
Family Housing,2001,3682.0,hist05z1
Other,2001,3270.0,hist05z1
"051 Subtotal, Department of Defense-Military",2001,318651.0,hist05z1
053 Atomic energy defense activities,2001,14298.0,hist05z1
054 Defense-related activities,2001,1756.0,hist05z1
"Total, National Defense",2001,334705.0,hist05z1
150 International Affairs:,2001,0.0,hist05z1
151 International development and humanitarian assistance,2001,8124.0,hist05z1
152 International security assistance,2001,6659.0,hist05z1
153 Conduct of foreign affairs,2001,6411.0,hist05z1
154 Foreign information and exchange activities,2001,898.0,hist05z1
155 International financial programs,2001,-1930.0,hist05z1
"Total, International Affairs",2001,20162.0,hist05z1
"250 General Science, Space, and Technology:",2001,0.0,hist05z1
251 General science and basic research,2001,7662.0,hist05z1
"252 Space flight, research, and supporting activities",2001,13327.0,hist05z1
"Total, General Science, Space, and Technology",2001,20989.0,hist05z1
270 Energy:,2001,0.0,hist05z1
271 Energy supply,2001,-1100.0,hist05z1
272 Energy conservation,2001,807.0,hist05z1
274 Emergency energy preparedness,2001,149.0,hist05z1
"276 Energy information, policy, and regulation",2001,261.0,hist05z1
"Total, Energy",2001,117.0,hist05z1
300 Natural Resources and Environment:,2001,0.0,hist05z1
301 Water resources,2001,5362.0,hist05z1
302 Conservation and land management,2001,8858.0,hist05z1
303 Recreational resources,2001,2930.0,hist05z1
304 Pollution control and abatement,2001,7740.0,hist05z1
306 Other natural resources,2001,4067.0,hist05z1
"Total, Natural Resources and Environment",2001,28957.0,hist05z1
350 Agriculture:,2001,0.0,hist05z1
351 Farm income stabilization,2001,24988.0,hist05z1
352 Agricultural research and services,2001,3898.0,hist05z1
"Total, Agriculture",2001,28886.0,hist05z1
370 Commerce and Housing Credit:,2001,0.0,hist05z1
371 Mortgage credit,2001,1937.0,hist05z1
372 Postal service,2001,4332.0,hist05z1
(On-budget),2001,268.0,hist05z1
(Off-budget),2001,4064.0,hist05z1
373 Deposit insurance,2001,-125.0,hist05z1
376 Other advancement of commerce,2001,6194.0,hist05z1
"Total, Commerce and Housing Credit",2001,12338.0,hist05z1
(On-budget),2001,8274.0,hist05z1
(Off-budget),2001,4064.0,hist05z1
400 Transportation:,2001,0.0,hist05z1
401 Ground transportation,2001,44011.0,hist05z1
402 Air transportation,2001,18543.0,hist05z1
403 Water transportation,2001,4560.0,hist05z1
407 Other transportation,2001,240.0,hist05z1
"Total, Transportation",2001,67354.0,hist05z1
450 Community and Regional Development:,2001,0.0,hist05z1
451 Community development,2001,6553.0,hist05z1
452 Area and regional development,2001,3314.0,hist05z1
453 Disaster relief and insurance,2001,4658.0,hist05z1
"Total, Community and Regional Development",2001,14525.0,hist05z1
"500 Education, Training, Employment, and Social Services:",2001,0.0,hist05z1
"501 Elementary, secondary, and vocational education",2001,26037.0,hist05z1
502 Higher education,2001,10486.0,hist05z1
503 Research and general education aids,2001,3106.0,hist05z1
504 Training and employment,2001,7797.0,hist05z1
505 Other labor services,2001,1441.0,hist05z1
506 Social services,2001,14656.0,hist05z1
"Total, Education, Training, Employment, and Social Services",2001,63523.0,hist05z1
550 Health:,2001,0.0,hist05z1
551 Health care services,2001,157657.0,hist05z1
552 Health research and training,2001,21474.0,hist05z1
554 Consumer and occupational health and safety,2001,2531.0,hist05z1
"Total, Health",2001,181662.0,hist05z1
570 Medicare:,2001,0.0,hist05z1
571 Medicare,2001,217096.0,hist05z1
600 Income Security:,2001,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),2001,6869.0,hist05z1
602 Federal employee retirement and disability,2001,82474.0,hist05z1
603 Unemployment compensation,2001,32694.0,hist05z1
604 Housing assistance,2001,25357.0,hist05z1
605 Food and nutrition assistance,2001,35030.0,hist05z1
609 Other income security,2001,91025.0,hist05z1
"Total, Income Security",2001,273449.0,hist05z1
650 Social Security:,2001,0.0,hist05z1
651 Social security,2001,440370.0,hist05z1
(On-budget),2001,11700.0,hist05z1
(Off-budget),2001,428670.0,hist05z1
700 Veterans Benefits and Services:,2001,0.0,hist05z1
701 Income security for veterans,2001,24526.0,hist05z1
"702 Veterans education, training, and rehabilitation",2001,1608.0,hist05z1
703 Hospital and medical care for veterans,2001,20931.0,hist05z1
704 Veterans housing,2001,-901.0,hist05z1
705 Other veterans benefits and services,2001,1406.0,hist05z1
"Total, Veterans Benefits and Services",2001,47570.0,hist05z1
750 Administration of Justice:,2001,0.0,hist05z1
751 Federal law enforcement activities,2001,13763.0,hist05z1
752 Federal litigative and judicial activities,2001,8493.0,hist05z1
753 Federal correctional activities,2001,4303.0,hist05z1
754 Criminal justice assistance,2001,5351.0,hist05z1
"Total, Administration of Justice",2001,31910.0,hist05z1
800 General Government:,2001,0.0,hist05z1
801 Legislative functions,2001,2725.0,hist05z1
802 Executive direction and management,2001,583.0,hist05z1
803 Central fiscal operations,2001,9330.0,hist05z1
804 General property and records management,2001,501.0,hist05z1
805 Central personnel management,2001,170.0,hist05z1
806 General purpose fiscal assistance,2001,2473.0,hist05z1
808 Other general government,2001,2077.0,hist05z1
809 Deductions for offsetting receipts,2001,-1754.0,hist05z1
"Total, General Government",2001,16105.0,hist05z1
900 Net Interest:,2001,0.0,hist05z1
901 Interest on Treasury debt securities (gross),2001,359476.0,hist05z1
902 Interest received by on-budget trust funds,2001,-75302.0,hist05z1
903 Interest received by off-budget trust funds,2001,-68811.0,hist05z1
908 Other interest,2001,-9197.0,hist05z1
(On-budget),2001,-9197.0,hist05z1
(Off-budget),2001,0.0,hist05z1
909 Other investment income,2001,-2.0,hist05z1
"Total, Net Interest",2001,206164.0,hist05z1
(On-budget),2001,274975.0,hist05z1
(Off-budget),2001,-68811.0,hist05z1
950 Undistributed Offsetting Receipts:,2001,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",2001,-30883.0,hist05z1
"952 Employer share, employee retirement (off-budget)",2001,-7910.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,2001,-7194.0,hist05z1
954 Sale of major assets,2001,0.0,hist05z1
959 Other undistributed offsetting receipts,2001,-1024.0,hist05z1
"Total, Undistributed Offsetting Receipts",2001,-47011.0,hist05z1
(On-budget),2001,-39101.0,hist05z1
(Off-budget),2001,-7910.0,hist05z1
Total budget authority,2001,1958871.0,hist05z1
(On-budget),2001,1602858.0,hist05z1
(Off-budget),2001,356013.0,hist05z1
On-budget unless otherwise stated,2001,0.0,hist05z1
050 National Defense:,2002,0.0,hist05z1
051 Department of Defense-Military:,2002,0.0,hist05z1
Military Personnel,2002,86956.0,hist05z1
Operation and Maintenance,2002,133212.0,hist05z1
Procurement,2002,62739.0,hist05z1
"Research, Development, Test, and Evaluation",2002,48713.0,hist05z1
Military Construction,2002,6631.0,hist05z1
Family Housing,2002,4048.0,hist05z1
Other,2002,2579.0,hist05z1
"051 Subtotal, Department of Defense-Military",2002,344878.0,hist05z1
053 Atomic energy defense activities,2002,15225.0,hist05z1
054 Defense-related activities,2002,1904.0,hist05z1
"Total, National Defense",2002,362007.0,hist05z1
150 International Affairs:,2002,0.0,hist05z1
151 International development and humanitarian assistance,2002,7712.0,hist05z1
152 International security assistance,2002,6927.0,hist05z1
153 Conduct of foreign affairs,2002,7213.0,hist05z1
154 Foreign information and exchange activities,2002,969.0,hist05z1
155 International financial programs,2002,2287.0,hist05z1
"Total, International Affairs",2002,25108.0,hist05z1
"250 General Science, Space, and Technology:",2002,0.0,hist05z1
251 General science and basic research,2002,8077.0,hist05z1
"252 Space flight, research, and supporting activities",2002,13901.0,hist05z1
"Total, General Science, Space, and Technology",2002,21978.0,hist05z1
270 Energy:,2002,0.0,hist05z1
271 Energy supply,2002,-958.0,hist05z1
272 Energy conservation,2002,896.0,hist05z1
274 Emergency energy preparedness,2002,179.0,hist05z1
"276 Energy information, policy, and regulation",2002,282.0,hist05z1
"Total, Energy",2002,399.0,hist05z1
300 Natural Resources and Environment:,2002,0.0,hist05z1
301 Water resources,2002,5883.0,hist05z1
302 Conservation and land management,2002,9797.0,hist05z1
303 Recreational resources,2002,3022.0,hist05z1
304 Pollution control and abatement,2002,7995.0,hist05z1
306 Other natural resources,2002,4401.0,hist05z1
"Total, Natural Resources and Environment",2002,31098.0,hist05z1
350 Agriculture:,2002,0.0,hist05z1
351 Farm income stabilization,2002,19494.0,hist05z1
352 Agricultural research and services,2002,4064.0,hist05z1
"Total, Agriculture",2002,23558.0,hist05z1
370 Commerce and Housing Credit:,2002,0.0,hist05z1
371 Mortgage credit,2002,-384.0,hist05z1
372 Postal service,2002,3754.0,hist05z1
(On-budget),2002,683.0,hist05z1
(Off-budget),2002,3071.0,hist05z1
373 Deposit insurance,2002,-4.0,hist05z1
376 Other advancement of commerce,2002,7874.0,hist05z1
"Total, Commerce and Housing Credit",2002,11240.0,hist05z1
(On-budget),2002,8169.0,hist05z1
(Off-budget),2002,3071.0,hist05z1
400 Transportation:,2002,0.0,hist05z1
401 Ground transportation,2002,45863.0,hist05z1
402 Air transportation,2002,17304.0,hist05z1
403 Water transportation,2002,5444.0,hist05z1
407 Other transportation,2002,238.0,hist05z1
"Total, Transportation",2002,68849.0,hist05z1
450 Community and Regional Development:,2002,0.0,hist05z1
451 Community development,2002,8066.0,hist05z1
452 Area and regional development,2002,3458.0,hist05z1
453 Disaster relief and insurance,2002,11497.0,hist05z1
"Total, Community and Regional Development",2002,23021.0,hist05z1
"500 Education, Training, Employment, and Social Services:",2002,0.0,hist05z1
"501 Elementary, secondary, and vocational education",2002,32927.0,hist05z1
502 Higher education,2002,19575.0,hist05z1
503 Research and general education aids,2002,2852.0,hist05z1
504 Training and employment,2002,7623.0,hist05z1
505 Other labor services,2002,1531.0,hist05z1
506 Social services,2002,15406.0,hist05z1
"Total, Education, Training, Employment, and Social Services",2002,79914.0,hist05z1
550 Health:,2002,0.0,hist05z1
551 Health care services,2002,178787.0,hist05z1
552 Health research and training,2002,24345.0,hist05z1
554 Consumer and occupational health and safety,2002,2866.0,hist05z1
"Total, Health",2002,205998.0,hist05z1
570 Medicare:,2002,0.0,hist05z1
571 Medicare,2002,234428.0,hist05z1
600 Income Security:,2002,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),2002,6738.0,hist05z1
602 Federal employee retirement and disability,2002,85122.0,hist05z1
603 Unemployment compensation,2002,53551.0,hist05z1
604 Housing assistance,2002,27192.0,hist05z1
605 Food and nutrition assistance,2002,38880.0,hist05z1
609 Other income security,2002,98367.0,hist05z1
"Total, Income Security",2002,309850.0,hist05z1
650 Social Security:,2002,0.0,hist05z1
651 Social security,2002,461930.0,hist05z1
(On-budget),2002,13978.0,hist05z1
(Off-budget),2002,447952.0,hist05z1
700 Veterans Benefits and Services:,2002,0.0,hist05z1
701 Income security for veterans,2002,27211.0,hist05z1
"702 Veterans education, training, and rehabilitation",2002,1938.0,hist05z1
703 Hospital and medical care for veterans,2002,22327.0,hist05z1
704 Veterans housing,2002,-878.0,hist05z1
705 Other veterans benefits and services,2002,1500.0,hist05z1
"Total, Veterans Benefits and Services",2002,52098.0,hist05z1
750 Administration of Justice:,2002,0.0,hist05z1
751 Federal law enforcement activities,2002,17219.0,hist05z1
752 Federal litigative and judicial activities,2002,9280.0,hist05z1
753 Federal correctional activities,2002,4614.0,hist05z1
754 Criminal justice assistance,2002,5943.0,hist05z1
"Total, Administration of Justice",2002,37056.0,hist05z1
800 General Government:,2002,0.0,hist05z1
801 Legislative functions,2002,2927.0,hist05z1
802 Executive direction and management,2002,565.0,hist05z1
803 Central fiscal operations,2002,9827.0,hist05z1
804 General property and records management,2002,530.0,hist05z1
805 Central personnel management,2002,180.0,hist05z1
806 General purpose fiscal assistance,2002,2555.0,hist05z1
808 Other general government,2002,2153.0,hist05z1
809 Deductions for offsetting receipts,2002,-812.0,hist05z1
"Total, General Government",2002,17925.0,hist05z1
900 Net Interest:,2002,0.0,hist05z1
901 Interest on Treasury debt securities (gross),2002,332537.0,hist05z1
902 Interest received by on-budget trust funds,2002,-76494.0,hist05z1
903 Interest received by off-budget trust funds,2002,-76819.0,hist05z1
908 Other interest,2002,-8277.0,hist05z1
(On-budget),2002,-8276.0,hist05z1
(Off-budget),2002,-1.0,hist05z1
909 Other investment income,2002,0.0,hist05z1
"Total, Net Interest",2002,170947.0,hist05z1
(On-budget),2002,247767.0,hist05z1
(Off-budget),2002,-76820.0,hist05z1
950 Undistributed Offsetting Receipts:,2002,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",2002,-33489.0,hist05z1
"952 Employer share, employee retirement (off-budget)",2002,-8878.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,2002,-5024.0,hist05z1
954 Sale of major assets,2002,0.0,hist05z1
959 Other undistributed offsetting receipts,2002,-1.0,hist05z1
"Total, Undistributed Offsetting Receipts",2002,-47392.0,hist05z1
(On-budget),2002,-38514.0,hist05z1
(Off-budget),2002,-8878.0,hist05z1
Total budget authority,2002,2090012.0,hist05z1
(On-budget),2002,1724687.0,hist05z1
(Off-budget),2002,365325.0,hist05z1
On-budget unless otherwise stated,2002,0.0,hist05z1
050 National Defense:,2003,0.0,hist05z1
051 Department of Defense-Military:,2003,0.0,hist05z1
Military Personnel,2003,109060.0,hist05z1
Operation and Maintenance,2003,178318.0,hist05z1
Procurement,2003,78495.0,hist05z1
"Research, Development, Test, and Evaluation",2003,58103.0,hist05z1
Military Construction,2003,6706.0,hist05z1
Family Housing,2003,4181.0,hist05z1
Other,2003,2817.0,hist05z1
"051 Subtotal, Department of Defense-Military",2003,437680.0,hist05z1
053 Atomic energy defense activities,2003,16339.0,hist05z1
054 Defense-related activities,2003,1964.0,hist05z1
"Total, National Defense",2003,455983.0,hist05z1
150 International Affairs:,2003,0.0,hist05z1
151 International development and humanitarian assistance,2003,15108.0,hist05z1
152 International security assistance,2003,10058.0,hist05z1
153 Conduct of foreign affairs,2003,7208.0,hist05z1
154 Foreign information and exchange activities,2003,1006.0,hist05z1
155 International financial programs,2003,-1691.0,hist05z1
"Total, International Affairs",2003,31689.0,hist05z1
"250 General Science, Space, and Technology:",2003,0.0,hist05z1
251 General science and basic research,2003,8626.0,hist05z1
"252 Space flight, research, and supporting activities",2003,14386.0,hist05z1
"Total, General Science, Space, and Technology",2003,23012.0,hist05z1
270 Energy:,2003,0.0,hist05z1
271 Energy supply,2003,-732.0,hist05z1
272 Energy conservation,2003,881.0,hist05z1
274 Emergency energy preparedness,2003,180.0,hist05z1
"276 Energy information, policy, and regulation",2003,245.0,hist05z1
"Total, Energy",2003,574.0,hist05z1
300 Natural Resources and Environment:,2003,0.0,hist05z1
301 Water resources,2003,5653.0,hist05z1
302 Conservation and land management,2003,10638.0,hist05z1
303 Recreational resources,2003,2903.0,hist05z1
304 Pollution control and abatement,2003,8072.0,hist05z1
306 Other natural resources,2003,4505.0,hist05z1
"Total, Natural Resources and Environment",2003,31771.0,hist05z1
350 Agriculture:,2003,0.0,hist05z1
351 Farm income stabilization,2003,20026.0,hist05z1
352 Agricultural research and services,2003,4611.0,hist05z1
"Total, Agriculture",2003,24637.0,hist05z1
370 Commerce and Housing Credit:,2003,0.0,hist05z1
371 Mortgage credit,2003,-286.0,hist05z1
372 Postal service,2003,5462.0,hist05z1
(On-budget),2003,76.0,hist05z1
(Off-budget),2003,5386.0,hist05z1
373 Deposit insurance,2003,-60.0,hist05z1
376 Other advancement of commerce,2003,9731.0,hist05z1
"Total, Commerce and Housing Credit",2003,14847.0,hist05z1
(On-budget),2003,9461.0,hist05z1
(Off-budget),2003,5386.0,hist05z1
400 Transportation:,2003,0.0,hist05z1
401 Ground transportation,2003,40333.0,hist05z1
402 Air transportation,2003,21478.0,hist05z1
403 Water transportation,2003,6624.0,hist05z1
407 Other transportation,2003,295.0,hist05z1
"Total, Transportation",2003,68730.0,hist05z1
450 Community and Regional Development:,2003,0.0,hist05z1
451 Community development,2003,5718.0,hist05z1
452 Area and regional development,2003,2956.0,hist05z1
453 Disaster relief and insurance,2003,8025.0,hist05z1
"Total, Community and Regional Development",2003,16699.0,hist05z1
"500 Education, Training, Employment, and Social Services:",2003,0.0,hist05z1
"501 Elementary, secondary, and vocational education",2003,36396.0,hist05z1
502 Higher education,2003,23719.0,hist05z1
503 Research and general education aids,2003,2962.0,hist05z1
504 Training and employment,2003,7385.0,hist05z1
505 Other labor services,2003,1587.0,hist05z1
506 Social services,2003,15749.0,hist05z1
"Total, Education, Training, Employment, and Social Services",2003,87798.0,hist05z1
550 Health:,2003,0.0,hist05z1
551 Health care services,2003,200807.0,hist05z1
552 Health research and training,2003,28116.0,hist05z1
554 Consumer and occupational health and safety,2003,2793.0,hist05z1
"Total, Health",2003,231716.0,hist05z1
570 Medicare:,2003,0.0,hist05z1
571 Medicare,2003,249947.0,hist05z1
600 Income Security:,2003,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),2003,6449.0,hist05z1
602 Federal employee retirement and disability,2003,86776.0,hist05z1
603 Unemployment compensation,2003,57464.0,hist05z1
604 Housing assistance,2003,28986.0,hist05z1
605 Food and nutrition assistance,2003,43349.0,hist05z1
609 Other income security,2003,106602.0,hist05z1
"Total, Income Security",2003,329626.0,hist05z1
650 Social Security:,2003,0.0,hist05z1
651 Social security,2003,476571.0,hist05z1
(On-budget),2003,13291.0,hist05z1
(Off-budget),2003,463280.0,hist05z1
700 Veterans Benefits and Services:,2003,0.0,hist05z1
701 Income security for veterans,2003,29897.0,hist05z1
"702 Veterans education, training, and rehabilitation",2003,2040.0,hist05z1
703 Hospital and medical care for veterans,2003,24754.0,hist05z1
704 Veterans housing,2003,520.0,hist05z1
705 Other veterans benefits and services,2003,1666.0,hist05z1
"Total, Veterans Benefits and Services",2003,58877.0,hist05z1
750 Administration of Justice:,2003,0.0,hist05z1
751 Federal law enforcement activities,2003,18108.0,hist05z1
752 Federal litigative and judicial activities,2003,9979.0,hist05z1
753 Federal correctional activities,2003,4441.0,hist05z1
754 Criminal justice assistance,2003,7076.0,hist05z1
"Total, Administration of Justice",2003,39604.0,hist05z1
800 General Government:,2003,0.0,hist05z1
801 Legislative functions,2003,3149.0,hist05z1
802 Executive direction and management,2003,537.0,hist05z1
803 Central fiscal operations,2003,11692.0,hist05z1
804 General property and records management,2003,913.0,hist05z1
805 Central personnel management,2003,212.0,hist05z1
806 General purpose fiscal assistance,2003,7676.0,hist05z1
808 Other general government,2003,2774.0,hist05z1
809 Deductions for offsetting receipts,2003,-1745.0,hist05z1
"Total, General Government",2003,25208.0,hist05z1
900 Net Interest:,2003,0.0,hist05z1
901 Interest on Treasury debt securities (gross),2003,318141.0,hist05z1
902 Interest received by on-budget trust funds,2003,-72523.0,hist05z1
903 Interest received by off-budget trust funds,2003,-83544.0,hist05z1
908 Other interest,2003,-6464.0,hist05z1
(On-budget),2003,-6463.0,hist05z1
(Off-budget),2003,-1.0,hist05z1
909 Other investment income,2003,-2460.0,hist05z1
"Total, Net Interest",2003,153150.0,hist05z1
(On-budget),2003,236695.0,hist05z1
(Off-budget),2003,-83545.0,hist05z1
950 Undistributed Offsetting Receipts:,2003,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",2003,-39751.0,hist05z1
"952 Employer share, employee retirement (off-budget)",2003,-9602.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,2003,-5029.0,hist05z1
954 Sale of major assets,2003,0.0,hist05z1
959 Other undistributed offsetting receipts,2003,0.0,hist05z1
"Total, Undistributed Offsetting Receipts",2003,-54382.0,hist05z1
(On-budget),2003,-44780.0,hist05z1
(Off-budget),2003,-9602.0,hist05z1
Total budget authority,2003,2266057.0,hist05z1
(On-budget),2003,1890538.0,hist05z1
(Off-budget),2003,375519.0,hist05z1
On-budget unless otherwise stated,2003,0.0,hist05z1
050 National Defense:,2004,0.0,hist05z1
051 Department of Defense-Military:,2004,0.0,hist05z1
Military Personnel,2004,116112.0,hist05z1
Operation and Maintenance,2004,189759.0,hist05z1
Procurement,2004,83073.0,hist05z1
"Research, Development, Test, and Evaluation",2004,64643.0,hist05z1
Military Construction,2004,6135.0,hist05z1
Family Housing,2004,3827.0,hist05z1
Other,2004,7370.0,hist05z1
"051 Subtotal, Department of Defense-Military",2004,470919.0,hist05z1
053 Atomic energy defense activities,2004,16802.0,hist05z1
054 Defense-related activities,2004,2805.0,hist05z1
"Total, National Defense",2004,490526.0,hist05z1
150 International Affairs:,2004,0.0,hist05z1
151 International development and humanitarian assistance,2004,30495.0,hist05z1
152 International security assistance,2004,7680.0,hist05z1
153 Conduct of foreign affairs,2004,8437.0,hist05z1
154 Foreign information and exchange activities,2004,999.0,hist05z1
155 International financial programs,2004,-2476.0,hist05z1
"Total, International Affairs",2004,45135.0,hist05z1
"250 General Science, Space, and Technology:",2004,0.0,hist05z1
251 General science and basic research,2004,9046.0,hist05z1
"252 Space flight, research, and supporting activities",2004,14321.0,hist05z1
"Total, General Science, Space, and Technology",2004,23367.0,hist05z1
270 Energy:,2004,0.0,hist05z1
271 Energy supply,2004,1864.0,hist05z1
272 Energy conservation,2004,868.0,hist05z1
274 Emergency energy preparedness,2004,176.0,hist05z1
"276 Energy information, policy, and regulation",2004,295.0,hist05z1
"Total, Energy",2004,3203.0,hist05z1
300 Natural Resources and Environment:,2004,0.0,hist05z1
301 Water resources,2004,5632.0,hist05z1
302 Conservation and land management,2004,10846.0,hist05z1
303 Recreational resources,2004,2969.0,hist05z1
304 Pollution control and abatement,2004,8545.0,hist05z1
306 Other natural resources,2004,4853.0,hist05z1
"Total, Natural Resources and Environment",2004,32845.0,hist05z1
